occurred	value
"2012-11-25"	87
"2012-12-02"	87
"2012-12-09"	87
"2012-12-16"	87
"2012-12-23"	88
"2012-12-30"	88
"2013-01-06"	88
"2013-01-13"	89
"2013-01-27"	90
"2013-02-03"	90
"2013-02-10"	90
"2013-02-17"	92
"2013-02-24"	92
"2013-03-03"	92
"2013-03-10"	92
"2013-03-17"	92
"2013-03-24"	93
"2013-03-31"	94
"2013-04-07"	93
"2013-04-14"	94
"2013-04-21"	94
"2013-04-28"	94
"2013-05-05"	94
"2013-05-12"	94
"2013-05-19"	95
"2013-05-27"	96
"2013-06-02"	96
"2013-06-09"	96
"2013-06-16"	96
"2013-06-23"	97
"2013-06-30"	97
"2013-07-07"	97
"2013-07-14"	97
"2013-07-21"	97
"2013-07-28"	97
"2013-08-04"	98
"2013-08-11"	98
"2013-08-18"	99
"2013-08-25"	99
"2013-09-01"	100
"2013-09-08"	100
"2013-09-15"	100
"2013-09-22"	101
"2013-09-29"	101
"2013-10-06"	101
"2013-10-13"	102
"2013-10-20"	102
"2013-10-27"	103
"2013-12-18"	103
"2013-12-22"	103
"2013-12-29"	103
"2014-01-05"	103
"2014-01-12"	104
"2014-01-19"	105
"2014-01-26"	104
"2014-02-02"	104
"2014-02-09"	105
"2014-02-16"	105
"2014-02-23"	105
"2014-03-02"	106
"2014-03-09"	107
"2014-03-16"	107
"2014-03-23"	107
"2014-03-30"	107
"2014-04-06"	107
"2014-04-13"	108
"2014-04-20"	108
"2014-04-27"	109
"2014-05-04"	109
"2014-05-11"	110
"2014-05-18"	109
"2014-05-25"	110
"2014-06-01"	110
"2014-06-08"	110
"2014-06-15"	110